pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
10,0.0,3.0,298168633.75208056,400620.7540444485,93.32228603308401,40.854161018933915,2.6564517473105123e+17,831880501568.2422
11,0.0,1.0,468792179.92712283,460635.80144912354,93.32228603308401,39.2081546627919,3.73661715595172e+17,891137555787.2351
15,1.4525846451336246,0.0,476644917.2300215,369958.8041089955,90.95520612317972,34.828704713465534,4.1122808604439034e+17,780839684174.545
