i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
4.0,289242776.79688996,11.0,1477634.9384325012,7.206515166430769
11.0,287327762.06453854,11.0,1543752.655163662,7.264532943805664
15.0,322310421.74994767,10.0,1452431.439093918,8.982303889232508
17.0,268910245.9971742,12.0,1607134.280003937,7.206515166430769
