i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
1.0,254899093.09451312,11.0,1628543.8063606627,7.809276588319145
10.0,301281224.71055824,10.0,1435552.2571378835,7.1799277889776665
14.0,257346855.1203252,11.0,1627371.7453641982,8.374750321944564
16.0,226517395.7816301,12.0,1719402.7258517952,7.1799277889776665
