i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
4.0,283684873.64306605,11.0,1496821.5051883492,7.0388615732807525
11.0,281113482.2354254,11.0,1563656.8896357184,7.1799277889776665
14.0,263517131.16793326,12.0,1624926.1376861841,7.0388615732807525
15.0,316209030.194998,10.0,1471625.9091481217,8.920641424537408
