pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,2.013500774918296,1.0,142894017.8784821,65260.40300091775,9.556563694001941,34.733676497579786,3.4525149661218884e+16,564593234588.9955
13,8.929377407791897,5.0,236737518.4784864,1802292.2587919864,38.4752930658845,41.977938952302196,3.1999667072185324e+16,990275023308.6218
