pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,2.7544675667388034,3.0,226075659.05072308,525611.5756639468,34.079274283239855,36.201317206688195,2.0862323362011194e+17,870515641915.1023
10,0.0,3.0,288971760.81546354,364605.2893462358,27.067757608740926,36.80758260013773,1.934870156241802e+17,823612388297.7239
16,13.323347227744723,2.0,699347647.794244,525611.5756639468,102.31792531787721,39.38421276145511,4.053710204270053e+17,910195643634.8617
