pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,0.0,4.0,436792504.3111515,1240740.5230327132,32.52947476009347,43.69523223117967,3.077622896296495e+17,1339292632205.8875
11,0.0,0.0,508710968.0606629,39814.285671130754,32.52947476009347,34.950440051322666,2.568293392760427e+17,827340482383.9169
16,10.740626713239502,7.0,483306303.94782877,1649196.3632392758,93.72118569034232,56.14300824495457,3.069723614681283e+17,1400478563381.1882
