i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3.0,63229459.346985176,15.0,2878219.8189253495,7.809276588319145
11.0,217134999.55188814,13.0,1817917.6869089634,7.809276588319145
12.0,45978268.380375154,16.0,3033940.1814221297,7.809276588319145
14.0,28381917.31288299,17.0,3095209.4294725955,7.809276588319145
