pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
11,0.0,3.0,515794243.46831405,430050.3383669248,20.740182746622725,41.001441546043885,1.3988597154182606e+17,950730119833.1514
12,3.6219377924634966,5.0,179584001.04133797,1841369.4566128808,28.332672239108764,52.14935187462265,1.0202746374083374e+17,1139072483529.1753
18,16.867091584178254,7.0,293195726.1760006,1919881.6010452798,100.75495675633701,51.49694496429953,1.0493114520168626e+17,954328264376.4188
