pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
11,0.0,3.0,437378952.84713674,407959.7611881788,108.96850450337061,45.089994065411226,3.3467609320978797e+17,977592489133.6852
12,0.14363534633312636,5.0,100074977.27500439,1649384.7639621187,108.95460348631703,63.02023912534072,2.889578718579142e+17,1559495402198.7002
15,0.0,6.0,367925162.9476374,1586634.8756621946,108.96850450337061,66.5989324311102,3.816026753460899e+17,1560659610689.8025
