pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
10,0.18975098324785833,3.0,283426136.3758348,407795.51448053634,22.931108734864775,40.60802749048774,1.5063049185138032e+17,918629782178.8257
11,2.9382732995633365,1.0,431708925.9061862,456606.33976718155,32.34995147659975,40.3563089134218,2.3100826028475056e+17,966732333511.572
15,2.9382732995633365,1.0,435842222.50298,365493.5475067992,31.745525741250592,37.03245474257728,2.631919859757317e+17,879733122481.3623
