SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29,DP30,DP31,DP32,DP33,DP34
30635.5,4558.3,31384.3,70293.8,30172.4,12952.4,84915.6,50554.9,59376.8,38826.5,0.0,2042.1,26146.5,6737.8,22276.5,29808.5,32689.7,30507.7,30044.8,52438.1,67097.5,30203.0,35326.8,29957.2,4275.2,20999.9,3644.9,26183.3,13875.7,60743.7,33923.3,62416.8,21239.6,30478.1,11526.5,2493.4,50476.2,35563.6,54589.2,1348.8,32217.0,57782.5,29983.9,47886.0,6691.9,8469.5,59661.2,32228.9,22254.1,12042.8,36606.6,53030.2,24990.3,55487.8,30745.1,79350.8
32389.9,3005.7,33138.7,72048.2,31926.8,11399.8,86670.0,52309.3,61131.2,40580.9,2044.3,0.0,27900.9,8492.2,24030.9,31562.9,34444.1,32262.1,31799.2,54192.5,68851.9,31957.4,37081.2,31711.6,6029.6,22754.3,5399.3,27937.7,15630.1,62498.1,35677.7,64171.2,22994.0,32232.5,13280.9,4247.8,52230.6,37318.0,56343.6,3103.2,33971.4,59536.9,31738.3,49640.4,8446.3,10223.9,61415.6,33983.3,24008.5,13797.2,38361.0,54784.6,26744.7,57242.2,32499.5,81105.2
10554.3,30965.0,11303.1,44200.8,10091.2,39359.1,58822.6,24461.9,33283.8,12833.7,26703.0,28448.8,0.0,22121.2,6255.7,9727.3,6696.9,10426.5,9963.6,26345.1,41004.5,10121.8,9334.0,9876.0,27883.1,8791.8,27662.0,192.7,16277.1,34650.7,7830.3,36323.8,5257.6,10396.9,22477.0,24314.1,24383.2,9470.6,28496.2,25365.9,12135.8,31689.5,9902.7,21793.0,22214.2,18740.8,33568.2,12147.7,15316.8,19543.8,10513.6,26937.2,24581.2,29394.8,10663.9,53257.8
26057.7,11207.2,26806.5,65716.0,25594.6,19601.3,80337.8,45977.1,54799.0,34248.7,6945.2,8691.0,21568.7,0.0,17698.7,25230.7,28111.9,25929.9,25467.0,47860.3,62519.7,25625.2,30749.0,25379.4,8125.3,16422.1,7904.2,21605.5,9297.9,56165.9,29345.5,57839.0,16661.8,25900.3,6948.7,4556.3,45898.4,30985.8,50011.4,5608.1,27639.2,53204.7,25406.1,43308.2,115.8,3891.7,55083.4,27651.1,17676.3,6916.8,32028.8,48452.4,20412.5,50910.0,26167.3,74773.0
10020.7,26803.3,10769.5,50117.7,9557.6,35197.4,64739.5,30378.8,39200.7,18650.4,22541.3,24287.1,5970.4,17959.5,0.0,9193.7,12513.6,9892.9,9430.0,32262.0,46921.4,9588.2,15150.7,9342.4,23721.4,4630.1,23500.3,6007.2,12115.4,40567.6,13747.2,42240.7,1095.9,9863.3,18315.3,20152.4,30300.1,15387.5,34413.1,21204.2,11602.2,37606.4,9369.1,27709.9,18052.5,14579.1,39485.1,11614.1,11155.1,15382.1,16430.5,32854.1,21924.1,35311.7,10130.3,59174.7
1003.0,34543.7,1751.8,54692.2,927.6,42937.8,69314.0,34953.3,43775.2,18586.0,30281.7,32027.5,10824.1,25699.9,9398.5,0.0,12449.2,875.2,649.3,36836.5,51495.9,697.3,15086.3,219.7,31461.8,12370.5,31240.7,10862.6,19855.8,45142.1,18321.7,46815.2,8836.3,845.6,26055.7,27892.8,34874.6,19962.0,38987.6,28944.6,2584.5,42180.9,856.3,32284.4,25792.9,22319.5,44059.6,2596.4,18895.5,23122.5,21005.0,37428.6,15029.9,39886.2,1112.6,63749.2
12206.1,37448.8,12954.9,50595.1,11743.0,45842.9,65216.9,30856.2,39678.1,13485.7,33186.8,34932.6,6727.0,28605.0,12739.5,11379.1,0.0,12078.3,11615.4,32739.4,47398.8,11773.6,9986.0,11527.8,34366.9,15275.6,34145.8,6765.5,22760.9,41045.0,14224.6,42718.1,11741.4,12048.7,28960.8,30797.9,30777.5,15864.9,34890.5,31849.7,13787.6,38083.8,11554.5,28187.3,28698.0,25224.6,39962.5,13799.5,21800.6,26027.6,16907.9,33331.5,26233.0,35789.1,12315.7,59652.1
983.2,35281.2,1032.2,55429.7,1096.6,43675.3,70051.5,35690.8,44512.7,19323.5,31019.2,32765.0,11561.6,26437.4,10136.0,921.8,13186.7,0.0,1239.8,37574.0,52233.4,1151.3,15823.8,1031.8,32199.3,13108.0,31978.2,11600.1,20593.3,45879.6,19059.2,47552.7,9573.8,407.8,26793.2,28630.3,35612.1,20699.5,39725.1,29682.1,1864.9,42918.4,1593.8,33021.9,26530.4,23057.0,44797.1,1876.8,19633.0,23860.0,21742.5,38166.1,14310.3,40623.7,393.0,64486.7
1280.6,34784.0,2029.4,54932.5,289.1,43178.1,69554.3,35193.6,44015.5,18826.3,30522.0,32267.8,11064.4,25940.2,9638.8,746.7,12689.5,1152.8,0.0,37076.8,51736.2,206.5,15326.6,701.2,31702.1,12610.8,31481.0,11102.9,20096.1,45382.4,18562.0,47055.5,9076.6,1123.2,26296.0,28133.1,35114.9,20202.3,39227.9,29184.9,2862.1,42421.2,1204.9,32524.7,26033.2,22559.8,44299.9,2874.0,19135.8,23362.8,21245.3,37668.9,15307.5,40126.5,1390.2,63989.5
36531.6,57231.7,37280.4,49798.9,36068.5,65625.8,64420.7,6286.7,38881.9,24878.2,52969.7,54715.5,26316.2,48387.9,32522.4,35704.6,32674.2,36403.8,35940.9,0.0,46602.6,36099.1,28516.9,35853.3,54149.8,35058.5,53928.7,26508.9,42543.8,40248.8,18509.2,41921.9,31524.3,36374.2,48743.7,50580.8,29981.3,20788.6,34094.3,51632.6,38113.1,37287.6,35880.0,24399.2,48480.9,45007.5,39166.3,38125.0,41583.5,45810.5,19925.4,32535.3,50558.5,31969.7,36641.2,58855.9
